,class
813,1
814,1
815,2
816,1
817,2
818,1
819,1
820,3
821,1
822,1
823,1
824,1
825,3
826,1
827,1
828,1
829,3
830,2
831,1
832,3
833,3
834,3
835,1
836,3
837,3
838,1
839,1
840,1
841,3
842,1
843,2
844,3
845,1
846,3
847,3
848,1
849,1
850,1
851,1
852,3
853,1
854,1
855,1
856,1
857,1
858,1
859,3
860,1
861,1
862,1
863,2
864,1
865,1
866,1
867,1
868,3
869,2
870,1
871,1
872,2
873,1
874,1
875,2
876,2
877,3
878,1
879,1
880,1
881,1
882,1
883,2
884,3
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,2
896,2
897,3
898,1
899,1
900,1
901,1
902,3
903,3
904,1
905,2
906,3
907,1
908,1
909,1
910,3
911,2
912,1
913,1
914,1
915,2
916,1
917,2
918,2
919,1
920,1
921,1
922,1
923,2
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,3
932,1
933,2
934,2
935,2
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,2
950,2
951,3
952,3
953,1
954,2
955,2
956,3
957,1
958,1
959,3
960,1
961,1
962,3
963,3
964,1
965,3
966,1
967,3
968,1
969,3
970,3
971,3
972,1
973,1
974,2
975,1
976,2
977,2
978,1
979,3
980,1
981,1
982,1
983,3
984,1
985,1
986,2
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,3
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,3
1005,3
1006,1
1007,1
1008,2
1009,1
1010,1
1011,1
1012,2
1013,1
1014,1
1015,2
1016,1
1017,1
1018,1
1019,3
1020,3
1021,1
1022,2
1023,1
1024,1
1025,2
1026,1
1027,1
1028,1
1029,1
1030,1
1031,3
1032,3
1033,1
1034,1
1035,3
1036,1
1037,2
1038,1
1039,1
1040,2
1041,1
1042,1
1043,1
1044,1
1045,3
1046,2
1047,1
1048,1
1049,3
1050,1
1051,1
1052,1
1053,3
1054,2
1055,2
1056,3
1057,1
1058,2
1059,3
1060,1
1061,1
1062,1
1063,1
1064,3
1065,1
1066,2
1067,1
1068,2
1069,3
1070,1
1071,1
1072,1
1073,1
1074,2
1075,1
1076,1
1077,1
1078,1
1079,1
1080,2
1081,2
1082,1
1083,1
1084,3
1085,1
1086,1
1087,1
1088,1
1089,3
1090,3
1091,3
1092,3
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,3
1104,1
1105,3
1106,1
1107,1
1108,1
1109,2
1110,3
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,2
1119,1
1120,1
1121,2
1122,3
1123,1
1124,1
1125,3
1126,1
1127,1
1128,2
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,3
1137,1
1138,3
1139,3
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,3
1149,3
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,2
1158,3
1159,2
1160,1
1161,3
1162,2
1163,1
1164,1
1165,1
1166,1
1167,1
1168,3
1169,2
1170,1
1171,1
1172,2
1173,1
1174,1
1175,1
1176,1
1177,1
1178,3
1179,1
1180,1
1181,1
1182,1
1183,1
1184,3
1185,3
1186,1
1187,1
1188,2
1189,3
1190,2
1191,1
1192,3
1193,2
1194,1
1195,2
1196,3
1197,3
1198,1
1199,1
1200,1
1201,1
1202,3
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,2
1215,1
1216,1
1217,3
1218,1
1219,3
1220,2
1221,1
1222,1
1223,1
1224,3
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,3
1236,1
1237,1
1238,2
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,3
1249,3
1250,1
1251,1
1252,3
1253,2
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,2
1263,1
1264,3
1265,1
1266,1
1267,3
1268,3
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,2
1284,3
1285,1
1286,1
1287,1
1288,1
1289,3
1290,3
1291,3
1292,1
1293,2
1294,1
1295,1
1296,1
1297,2
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,2
1305,1
1306,3
1307,1
1308,1
1309,2
1310,3
1311,1
1312,1
1313,3
1314,1
1315,1
1316,1
1317,3
1318,3
1319,2
1320,3
1321,3
1322,2
1323,1
1324,1
1325,1
1326,3
1327,1
1328,3
1329,1
1330,2
1331,1
1332,1
1333,3
1334,1
1335,1
1336,3
1337,2
1338,3
1339,1
1340,1
1341,1
1342,2
1343,2
1344,1
1345,1
1346,1
1347,1
1348,3
1349,1
1350,1
1351,3
1352,1
1353,1
1354,3
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,3
1367,3
1368,1
1369,3
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,2
1381,2
1382,2
1383,2
1384,2
1385,3
1386,2
1387,1
1388,1
1389,1
1390,1
1391,3
1392,3
1393,3
1394,3
1395,2
1396,1
1397,1
1398,1
1399,1
1400,1
1401,1
1402,3
1403,3
1404,2
1405,2
1406,1
1407,1
1408,2
1409,1
1410,1
1411,1
1412,3
1413,1
1414,2
1415,3
1416,1
1417,3
1418,1
1419,1
1420,1
1421,1
1422,3
1423,1
1424,3
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,2
1434,2
1435,3
1436,2
1437,1
1438,1
1439,2
1440,1
1441,1
1442,3
1443,1
1444,1
1445,1
1446,2
1447,2
1448,2
1449,3
1450,2
1451,1
1452,1
1453,1
1454,1
1455,1
1456,2
1457,2
1458,1
1459,1
1460,1
1461,1
1462,2
1463,1
1464,2
1465,1
1466,1
1467,1
1468,1
1469,1
1470,2
1471,1
1472,1
1473,3
1474,1
1475,1
1476,2
1477,2
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,2
1485,1
1486,1
1487,2
1488,2
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,2
1497,2
1498,1
1499,2
1500,2
1501,1
1502,2
1503,1
1504,1
1505,1
1506,2
1507,1
1508,1
1509,3
1510,3
1511,1
1512,1
1513,2
1514,1
1515,2
1516,2
1517,3
1518,1
1519,1
1520,1
1521,1
1522,3
1523,2
1524,3
1525,1
1526,2
1527,1
1528,1
1529,1
1530,3
1531,2
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,3
1539,2
1540,1
1541,1
1542,2
1543,1
1544,1
1545,1
1546,1
1547,1
1548,2
1549,1
1550,3
1551,1
1552,2
1553,2
1554,1
1555,1
1556,1
1557,2
1558,3
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,3
1578,2
1579,2
1580,2
1581,1
1582,2
1583,1
1584,3
1585,1
1586,1
1587,1
1588,2
1589,2
1590,3
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,2
1598,2
1599,3
1600,3
1601,1
1602,1
1603,2
1604,1
1605,1
1606,1
1607,3
1608,1
1609,1
1610,2
1611,3
1612,1
1613,1
1614,3
1615,1
1616,2
1617,2
1618,2
1619,2
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,2
1630,1
1631,2
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,3
1640,1
1641,1
1642,1
1643,1
1644,2
1645,1
1646,1
1647,3
1648,3
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,2
1657,3
1658,1
1659,2
1660,2
1661,3
1662,2
1663,1
1664,1
1665,2
1666,1
1667,1
1668,1
1669,1
1670,3
1671,1
1672,1
1673,3
1674,1
1675,1
1676,1
1677,1
1678,3
1679,1
1680,1
1681,1
1682,1
1683,1
1684,2
1685,3
1686,1
1687,3
1688,1
1689,1
1690,2
1691,1
1692,2
1693,2
1694,1
1695,1
1696,1
1697,1
1698,1
1699,2
1700,3
1701,1
1702,1
1703,3
1704,1
1705,3
1706,1
1707,1
1708,1
1709,3
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,3
1722,1
1723,3
1724,3
1725,1
1726,1
1727,1
1728,1
1729,3
1730,1
1731,1
1732,3
1733,1
1734,1
1735,3
1736,1
1737,1
1738,2
1739,2
1740,1
1741,3
1742,3
1743,1
1744,1
1745,3
1746,1
1747,1
1748,1
1749,2
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,2
1757,3
1758,1
1759,1
1760,3
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,3
1768,3
1769,2
1770,1
1771,1
1772,1
1773,1
1774,3
1775,3
1776,1
1777,1
1778,2
1779,1
1780,2
1781,1
1782,2
1783,1
1784,1
1785,3
1786,1
1787,1
1788,2
1789,1
1790,2
1791,2
1792,1
1793,1
1794,1
1795,1
1796,1
1797,2
1798,3
1799,2
1800,3
1801,3
1802,3
1803,2
1804,2
1805,3
1806,1
1807,2
1808,1
1809,1
1810,1
1811,1
1812,1
1813,3
1814,1
1815,1
1816,1
1817,1
1818,2
1819,1
1820,3
1821,2
1822,3
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,2
1830,1
1831,1
1832,1
1833,1
1834,1
1835,1
1836,1
1837,2
1838,1
1839,2
1840,1
1841,1
1842,3
1843,1
1844,2
1845,2
1846,1
1847,3
1848,1
1849,3
1850,3
1851,1
1852,1
1853,2
1854,3
1855,2
1856,3
1857,2
1858,2
1859,1
1860,2
1861,2
1862,1
1863,2
1864,1
1865,1
1866,2
1867,3
1868,1
1869,1
1870,1
1871,1
1872,2
1873,1
1874,1
1875,1
1876,1
1877,2
1878,2
1879,1
1880,1
1881,1
1882,3
1883,3
1884,1
1885,2
1886,1
1887,1
1888,1
1889,1
1890,1
1891,1
1892,3
1893,1
1894,1
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,2
1902,3
1903,3
1904,2
1905,1
1906,1
1907,1
1908,1
1909,1
1910,3
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,3
1922,1
1923,1
1924,1
1925,1
1926,2
1927,2
1928,2
1929,1
1930,3
1931,2
1932,1
1933,1
1934,1
1935,1
1936,1
1937,1
1938,1
1939,3
1940,1
1941,3
1942,3
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,2
1950,1
1951,1
1952,1
1953,1
1954,3
1955,3
1956,2
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,1
1964,2
1965,3
1966,2
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,3
1978,1
1979,2
1980,1
1981,2
1982,2
1983,2
1984,1
1985,2
1986,3
1987,1
1988,3
1989,1
1990,3
1991,1
1992,2
1993,3
1994,2
1995,1
1996,1
1997,2
1998,1
1999,3
2000,3
2001,1
2002,1
2003,1
2004,1
2005,2
2006,1
2007,1
2008,1
2009,3
2010,1
2011,1
2012,3
2013,1
2014,1
2015,3
2016,3
2017,2
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,2
2025,1
2026,3
2027,3
2028,3
2029,2
2030,3
2031,3
2032,2
2033,1
2034,2
2035,3
2036,3
2037,1
2038,2
2039,2
2040,3
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,3
2056,2
2057,1
2058,2
2059,1
2060,3
2061,3
2062,1
2063,3
2064,2
2065,1
2066,2
2067,1
2068,1
2069,2
2070,2
2071,3
2072,2
2073,1
2074,1
2075,1
2076,2
2077,2
2078,2
2079,2
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,2
2089,2
2090,2
2091,3
2092,2
2093,2
2094,2
2095,3
2096,2
2097,1
2098,1
2099,1
2100,2
2101,3
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,3
2109,2
2110,1
2111,1
2112,3
2113,1
2114,1
2115,1
2116,1
2117,1
2118,2
2119,3
2120,1
2121,1
2122,1
2123,1
2124,3
2125,1
2126,1
2127,1
2128,1
2129,2
2130,1
2131,1
2132,1
2133,1
2134,1
2135,3
2136,1
2137,3
2138,1
2139,1
2140,2
2141,1
2142,2
2143,2
2144,1
2145,2
2146,3
2147,1
2148,2
2149,2
2150,1
2151,3
2152,3
2153,1
2154,3
2155,3
2156,1
2157,2
2158,1
2159,1
2160,1
2161,1
2162,1
2163,2
2164,1
2165,3
2166,2
2167,3
2168,1
2169,3
2170,1
2171,1
2172,3
2173,3
2174,1
2175,3
2176,2
2177,3
2178,3
2179,3
2180,1
2181,1
2182,1
2183,1
2184,1
2185,2
2186,1
2187,1
2188,1
2189,2
2190,1
2191,2
2192,3
2193,2
2194,1
2195,1
2196,3
2197,1
2198,1
2199,2
2200,3
2201,1
2202,1
2203,1
2204,1
2205,3
2206,2
2207,1
2208,3
2209,1
2210,1
2211,2
2212,2
2213,2
2214,3
2215,2
2216,2
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,3
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,3
2233,2
2234,2
2235,2
2236,2
2237,1
2238,1
2239,1
2240,2
2241,1
2242,1
2243,1
2244,1
2245,2
2246,2
2247,3
2248,1
2249,2
2250,3
2251,1
2252,1
2253,3
2254,3
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,2
2266,3
2267,2
2268,1
2269,1
2270,3
2271,2
2272,2
2273,1
2274,1
2275,1
2276,3
2277,3
2278,2
2279,3
2280,2
2281,2
2282,3
2283,2
2284,1
2285,3
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,3
2293,3
2294,1
2295,1
2296,1
2297,1
2298,1
2299,2
2300,2
2301,3
2302,1
2303,1
2304,1
2305,2
2306,1
2307,1
2308,1
2309,1
2310,2
2311,3
2312,1
2313,3
2314,3
2315,3
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,2
2323,1
2324,1
2325,2
2326,3
2327,2
2328,1
2329,2
2330,3
2331,1
2332,2
2333,1
2334,1
2335,1
2336,3
2337,2
2338,3
2339,2
2340,1
2341,2
2342,1
2343,2
2344,3
2345,2
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2353,3
2354,2
2355,3
2356,2
2357,2
2358,1
2359,1
2360,1
2361,1
2362,3
2363,3
2364,2
2365,1
2366,1
2367,1
2368,1
2369,2
2370,3
2371,1
2372,1
2373,1
2374,2
2375,2
2376,3
2377,2
2378,2
2379,1
2380,3
2381,1
2382,2
2383,1
2384,3
2385,1
2386,1
2387,1
2388,3
2389,2
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,2
2401,1
2402,1
2403,2
2404,1
2405,1
2406,3
2407,1
2408,1
2409,3
2410,2
2411,3
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,2
2419,1
2420,2
2421,3
2422,2
2423,3
2424,2
2425,1
2426,2
2427,2
2428,1
2429,2
2430,2
2431,1
2432,1
2433,3
2434,1
2435,1
2436,1
2437,1
2438,2
2439,1
2440,1
2441,3
2442,1
2443,1
2444,1
2445,1
2446,1
2447,2
2448,2
2449,1
2450,1
2451,3
2452,1
2453,1
2454,1
2455,1
2456,2
2457,1
2458,1
2459,1
2460,1
2461,2
2462,2
2463,2
2464,3
2465,1
2466,3
2467,1
2468,2
2469,3
2470,3
2471,2
2472,3
2473,3
2474,3
2475,1
2476,1
2477,1
2478,2
2479,2
2480,1
2481,1
2482,2
2483,3
2484,2
2485,2
2486,2
2487,2
2488,2
2489,1
2490,1
2491,1
2492,1
2493,2
2494,1
2495,1
2496,1
2497,3
2498,3
2499,1
2500,1
2501,1
2502,1
2503,2
2504,1
2505,1
2506,3
2507,1
2508,1
2509,3
2510,3
2511,1
2512,2
2513,2
2514,2
2515,3
2516,2
2517,3
2518,1
2519,1
2520,2
2521,1
2522,1
2523,2
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,2
2534,1
2535,1
2536,1
2537,1
2538,2
2539,1
2540,1
2541,1
2542,1
2543,1
2544,3
2545,1
2546,1
2547,1
2548,1
2549,2
2550,3
2551,1
2552,1
2553,1
2554,1
2555,1
2556,2
2557,3
2558,1
2559,1
2560,3
2561,2
2562,2
2563,1
2564,1
2565,3
2566,2
2567,1
2568,3
2569,3
2570,2
2571,1
2572,2
2573,1
2574,2
2575,1
2576,2
2577,1
2578,3
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,3
2587,3
2588,2
2589,1
2590,1
2591,1
2592,3
2593,1
2594,1
2595,3
2596,1
2597,2
2598,3
2599,1
2600,1
2601,3
2602,2
2603,1
2604,1
2605,1
2606,1
2607,3
2608,2
2609,2
2610,1
2611,1
2612,1
2613,3
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,2
2621,3
2622,2
2623,1
2624,1
2625,1
2626,1
2627,1
2628,3
2629,3
2630,2
2631,2
2632,2
2633,1
2634,1
2635,2
2636,2
2637,1
2638,3
2639,2
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,3
2647,2
2648,1
2649,1
2650,2
2651,1
2652,3
2653,3
2654,1
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,3
2662,1
2663,1
2664,1
2665,1
2666,1
2667,3
2668,2
2669,2
2670,3
2671,3
2672,3
2673,2
2674,1
2675,3
2676,2
2677,1
2678,1
2679,1
2680,3
2681,1
2682,1
2683,2
2684,1
2685,1
2686,1
2687,1
2688,1
2689,3
2690,1
2691,3
2692,1
2693,3
2694,2
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2702,3
2703,2
2704,3
2705,3
2706,1
2707,1
2708,2
2709,1
2710,1
2711,2
2712,3
2713,3
2714,1
2715,1
2716,1
2717,1
2718,1
2719,1
2720,1
2721,1
2722,3
2723,3
2724,2
2725,2
2726,1
2727,1
2728,3
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,3
2738,1
2739,2
2740,3
2741,3
2742,2
2743,3
2744,2
2745,1
2746,2
2747,3
2748,2
2749,3
2750,1
2751,3
2752,1
2753,1
2754,3
2755,2
2756,3
2757,2
2758,2
2759,1
2760,2
2761,2
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,3
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,1
2778,1
2779,3
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,2
2789,1
2790,1
2791,2
2792,1
2793,1
2794,1
2795,3
2796,2
2797,1
2798,3
2799,1
2800,2
2801,1
2802,1
2803,3
2804,2
2805,1
2806,3
2807,1
2808,1
2809,1
2810,1
2811,1
2812,1
2813,2
2814,2
2815,1
2816,3
2817,3
2818,2
2819,1
2820,1
2821,1
2822,3
2823,3
2824,2
2825,3
2826,3
2827,3
2828,2
2829,2
2830,3
2831,3
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,2
2843,2
2844,3
2845,2
2846,1
2847,3
2848,1
2849,1
2850,1
2851,2
2852,2
2853,3
2854,3
2855,1
2856,1
2857,1
2858,1
2859,1
2860,3
2861,2
2862,1
2863,3
2864,1
2865,1
2866,1
2867,3
2868,1
2869,1
2870,1
2871,3
2872,2
2873,3
2874,3
2875,1
2876,2
2877,1
2878,1
2879,1
2880,2
2881,2
2882,1
2883,1
2884,3
2885,3
2886,2
2887,1
2888,2
2889,3
2890,3
2891,1
2892,1
2893,1
2894,1
2895,3
2896,2
2897,1
2898,1
2899,1
2900,2
2901,1
2902,1
2903,3
2904,1
2905,1
2906,1
2907,3
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,2
2915,2
2916,2
2917,1
2918,2
2919,1
2920,1
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,2
2933,1
2934,1
2935,3
2936,3
2937,1
2938,1
2939,1
2940,3
2941,1
2942,3
2943,3
2944,3
2945,3
2946,3
2947,2
2948,3
2949,3
2950,1
2951,1
2952,3
2953,1
2954,1
2955,3
2956,1
2957,1
2958,2
2959,2
2960,1
2961,1
2962,3
2963,1
2964,1
2965,1
2966,1
2967,3
2968,1
2969,1
2970,1
2971,2
2972,3
2973,1
2974,1
2975,1
2976,3
2977,1
2978,1
2979,1
2980,1
2981,1
2982,1
2983,2
2984,1
2985,1
2986,1
2987,1
2988,2
2989,1
2990,1
2991,3
2992,1
2993,1
2994,1
2995,1
2996,2
2997,1
