,class
330,GALAXY
331,GALAXY
332,GALAXY
333,QSO
334,GALAXY
335,GALAXY
336,QSO
337,STAR
338,GALAXY
339,GALAXY
340,GALAXY
341,QSO
342,STAR
343,GALAXY
344,STAR
345,GALAXY
346,GALAXY
347,STAR
348,GALAXY
349,GALAXY
350,GALAXY
351,STAR
352,GALAXY
353,GALAXY
354,GALAXY
355,GALAXY
356,GALAXY
357,QSO
358,STAR
359,GALAXY
360,GALAXY
361,GALAXY
362,GALAXY
363,GALAXY
364,GALAXY
365,GALAXY
366,GALAXY
367,QSO
368,GALAXY
369,GALAXY
370,GALAXY
371,GALAXY
372,GALAXY
373,GALAXY
374,GALAXY
375,GALAXY
376,QSO
377,GALAXY
378,GALAXY
379,GALAXY
380,QSO
381,STAR
382,QSO
383,QSO
384,QSO
385,QSO
386,STAR
387,GALAXY
388,GALAXY
389,STAR
390,GALAXY
391,GALAXY
392,GALAXY
393,GALAXY
394,GALAXY
395,STAR
396,GALAXY
397,GALAXY
398,GALAXY
399,GALAXY
400,QSO
401,GALAXY
402,STAR
403,QSO
404,GALAXY
405,STAR
406,GALAXY
407,GALAXY
408,GALAXY
409,GALAXY
410,GALAXY
411,GALAXY
412,QSO
413,STAR
414,GALAXY
415,GALAXY
416,STAR
417,GALAXY
418,GALAXY
419,GALAXY
420,GALAXY
421,GALAXY
422,GALAXY
423,STAR
424,GALAXY
425,GALAXY
426,STAR
427,GALAXY
428,GALAXY
429,GALAXY
430,GALAXY
431,QSO
432,GALAXY
433,QSO
434,GALAXY
435,GALAXY
436,GALAXY
437,GALAXY
438,GALAXY
439,GALAXY
440,GALAXY
441,GALAXY
442,GALAXY
443,STAR
444,GALAXY
445,GALAXY
446,GALAXY
447,GALAXY
448,GALAXY
449,GALAXY
450,GALAXY
451,GALAXY
452,QSO
453,STAR
454,GALAXY
455,QSO
456,GALAXY
457,QSO
458,QSO
459,GALAXY
460,GALAXY
461,GALAXY
462,QSO
463,GALAXY
464,GALAXY
465,GALAXY
466,GALAXY
467,GALAXY
468,GALAXY
469,GALAXY
470,GALAXY
471,GALAXY
472,GALAXY
473,STAR
474,QSO
475,GALAXY
476,STAR
477,STAR
478,GALAXY
479,GALAXY
480,GALAXY
481,GALAXY
482,QSO
483,GALAXY
484,GALAXY
485,GALAXY
486,GALAXY
487,GALAXY
488,QSO
489,QSO
490,GALAXY
491,GALAXY
492,GALAXY
493,GALAXY
494,GALAXY
495,GALAXY
496,GALAXY
497,GALAXY
498,GALAXY
499,GALAXY
500,STAR
501,STAR
502,GALAXY
503,GALAXY
504,GALAXY
505,QSO
506,GALAXY
507,GALAXY
508,GALAXY
509,STAR
510,QSO
511,STAR
512,QSO
513,STAR
514,GALAXY
515,STAR
516,GALAXY
517,GALAXY
518,GALAXY
519,GALAXY
520,GALAXY
521,QSO
522,GALAXY
523,STAR
524,GALAXY
525,GALAXY
526,GALAXY
527,GALAXY
528,GALAXY
529,QSO
530,GALAXY
531,GALAXY
532,GALAXY
533,GALAXY
534,GALAXY
535,GALAXY
536,GALAXY
537,GALAXY
538,QSO
539,GALAXY
540,GALAXY
541,GALAXY
542,GALAXY
543,GALAXY
544,GALAXY
545,GALAXY
546,GALAXY
547,GALAXY
548,GALAXY
549,GALAXY
550,GALAXY
551,GALAXY
552,GALAXY
553,QSO
554,QSO
555,STAR
556,GALAXY
557,GALAXY
558,GALAXY
559,GALAXY
560,GALAXY
561,GALAXY
562,STAR
563,GALAXY
564,GALAXY
565,GALAXY
566,GALAXY
567,QSO
568,GALAXY
569,GALAXY
570,GALAXY
571,GALAXY
572,GALAXY
573,STAR
574,GALAXY
575,GALAXY
576,GALAXY
577,GALAXY
578,STAR
579,QSO
580,GALAXY
581,GALAXY
582,GALAXY
583,GALAXY
584,STAR
585,GALAXY
586,GALAXY
587,STAR
588,QSO
589,GALAXY
590,GALAXY
591,GALAXY
592,QSO
593,GALAXY
594,GALAXY
595,QSO
596,STAR
597,GALAXY
598,GALAXY
599,GALAXY
600,GALAXY
601,GALAXY
602,STAR
603,GALAXY
604,GALAXY
605,STAR
606,QSO
607,GALAXY
608,GALAXY
609,STAR
610,GALAXY
611,GALAXY
612,GALAXY
613,GALAXY
614,STAR
615,GALAXY
616,STAR
617,STAR
618,QSO
619,GALAXY
620,GALAXY
621,GALAXY
622,QSO
623,QSO
624,QSO
625,GALAXY
626,GALAXY
627,GALAXY
628,QSO
629,GALAXY
630,GALAXY
631,QSO
632,GALAXY
633,QSO
634,GALAXY
635,STAR
636,QSO
637,STAR
638,GALAXY
639,GALAXY
640,GALAXY
641,GALAXY
642,QSO
643,GALAXY
644,GALAXY
645,STAR
646,GALAXY
647,GALAXY
648,QSO
649,STAR
650,QSO
651,QSO
652,GALAXY
653,QSO
654,GALAXY
655,QSO
656,GALAXY
657,GALAXY
658,GALAXY
659,GALAXY
660,GALAXY
661,GALAXY
662,GALAXY
663,STAR
664,GALAXY
665,GALAXY
666,GALAXY
667,GALAXY
668,GALAXY
669,GALAXY
670,GALAXY
671,GALAXY
672,QSO
673,GALAXY
674,GALAXY
675,STAR
676,STAR
677,GALAXY
678,GALAXY
679,GALAXY
680,GALAXY
681,QSO
682,GALAXY
683,GALAXY
684,GALAXY
685,GALAXY
686,GALAXY
687,GALAXY
688,GALAXY
689,QSO
690,GALAXY
691,GALAXY
692,QSO
693,STAR
694,GALAXY
695,GALAXY
696,GALAXY
697,QSO
698,GALAXY
699,QSO
700,QSO
701,STAR
702,GALAXY
703,GALAXY
704,GALAXY
705,QSO
706,STAR
707,GALAXY
708,GALAXY
709,STAR
710,STAR
711,QSO
712,GALAXY
713,QSO
714,QSO
715,GALAXY
716,GALAXY
717,GALAXY
718,STAR
719,STAR
720,STAR
721,GALAXY
722,STAR
723,STAR
724,GALAXY
725,GALAXY
726,GALAXY
727,STAR
728,STAR
729,GALAXY
730,STAR
731,QSO
732,GALAXY
733,GALAXY
734,STAR
735,GALAXY
736,GALAXY
737,GALAXY
738,GALAXY
739,GALAXY
740,GALAXY
741,GALAXY
742,QSO
743,GALAXY
744,STAR
745,QSO
746,STAR
747,GALAXY
748,GALAXY
749,GALAXY
750,GALAXY
751,GALAXY
752,GALAXY
753,QSO
754,QSO
755,QSO
756,GALAXY
757,QSO
758,STAR
759,STAR
760,GALAXY
761,GALAXY
762,GALAXY
763,GALAXY
764,GALAXY
765,GALAXY
766,STAR
767,GALAXY
768,GALAXY
769,QSO
770,GALAXY
771,GALAXY
772,GALAXY
773,GALAXY
774,GALAXY
775,GALAXY
776,GALAXY
777,GALAXY
778,STAR
779,STAR
780,GALAXY
781,GALAXY
782,GALAXY
783,GALAXY
784,GALAXY
785,GALAXY
786,GALAXY
787,STAR
788,QSO
789,GALAXY
790,GALAXY
791,GALAXY
792,QSO
793,STAR
794,QSO
795,QSO
796,QSO
797,GALAXY
798,GALAXY
799,STAR
800,GALAXY
801,GALAXY
802,GALAXY
803,GALAXY
804,GALAXY
805,GALAXY
806,QSO
807,GALAXY
808,GALAXY
809,STAR
810,GALAXY
811,GALAXY
812,GALAXY
813,GALAXY
814,GALAXY
815,QSO
816,GALAXY
817,QSO
818,GALAXY
819,GALAXY
820,STAR
821,GALAXY
822,GALAXY
823,GALAXY
824,GALAXY
825,STAR
826,GALAXY
827,GALAXY
828,GALAXY
829,STAR
830,QSO
831,GALAXY
832,STAR
833,STAR
834,STAR
835,GALAXY
836,STAR
837,STAR
838,GALAXY
839,GALAXY
840,GALAXY
841,STAR
842,GALAXY
843,QSO
844,STAR
845,GALAXY
846,STAR
847,STAR
848,GALAXY
849,GALAXY
850,GALAXY
851,GALAXY
852,STAR
853,GALAXY
854,GALAXY
855,GALAXY
856,GALAXY
857,GALAXY
858,GALAXY
859,STAR
860,GALAXY
861,GALAXY
862,GALAXY
863,QSO
864,GALAXY
865,GALAXY
866,GALAXY
867,GALAXY
868,STAR
869,QSO
870,GALAXY
871,GALAXY
872,QSO
873,GALAXY
874,GALAXY
875,QSO
876,QSO
877,STAR
878,GALAXY
879,GALAXY
880,GALAXY
881,GALAXY
882,GALAXY
883,QSO
884,STAR
885,GALAXY
886,GALAXY
887,GALAXY
888,GALAXY
889,GALAXY
890,GALAXY
891,GALAXY
892,GALAXY
893,GALAXY
894,GALAXY
895,QSO
896,QSO
897,STAR
898,GALAXY
899,GALAXY
900,GALAXY
901,GALAXY
902,STAR
903,STAR
904,GALAXY
905,QSO
906,STAR
907,GALAXY
908,GALAXY
909,GALAXY
910,STAR
911,QSO
912,GALAXY
913,GALAXY
914,GALAXY
915,QSO
916,GALAXY
917,QSO
918,QSO
919,GALAXY
920,GALAXY
921,GALAXY
922,GALAXY
923,QSO
924,GALAXY
925,GALAXY
926,GALAXY
927,GALAXY
928,GALAXY
929,GALAXY
930,GALAXY
931,STAR
932,GALAXY
933,QSO
934,QSO
935,QSO
936,GALAXY
937,GALAXY
938,GALAXY
939,GALAXY
940,GALAXY
941,GALAXY
942,GALAXY
943,GALAXY
944,GALAXY
945,GALAXY
946,GALAXY
947,GALAXY
948,GALAXY
949,QSO
950,QSO
951,STAR
952,STAR
953,GALAXY
954,QSO
955,QSO
956,STAR
957,GALAXY
958,GALAXY
959,STAR
960,GALAXY
961,GALAXY
962,STAR
963,STAR
964,GALAXY
965,STAR
966,GALAXY
967,STAR
968,GALAXY
969,STAR
970,STAR
971,STAR
972,GALAXY
973,GALAXY
974,QSO
975,GALAXY
976,QSO
977,QSO
978,GALAXY
979,STAR
980,GALAXY
981,GALAXY
982,GALAXY
983,STAR
984,GALAXY
985,GALAXY
986,QSO
987,GALAXY
988,GALAXY
989,GALAXY
990,GALAXY
991,GALAXY
992,GALAXY
993,GALAXY
994,GALAXY
995,STAR
996,GALAXY
997,GALAXY
998,GALAXY
999,GALAXY
1000,GALAXY
1001,GALAXY
1002,GALAXY
1003,GALAXY
1004,STAR
1005,STAR
1006,GALAXY
1007,GALAXY
1008,QSO
1009,GALAXY
1010,GALAXY
1011,GALAXY
1012,QSO
1013,GALAXY
1014,GALAXY
1015,QSO
1016,GALAXY
1017,GALAXY
1018,GALAXY
1019,STAR
1020,STAR
1021,GALAXY
1022,QSO
1023,GALAXY
1024,GALAXY
1025,QSO
1026,GALAXY
1027,GALAXY
1028,GALAXY
1029,GALAXY
1030,GALAXY
1031,STAR
1032,STAR
1033,GALAXY
1034,GALAXY
1035,STAR
1036,GALAXY
1037,QSO
1038,GALAXY
1039,GALAXY
1040,QSO
1041,GALAXY
1042,GALAXY
1043,GALAXY
1044,GALAXY
1045,STAR
1046,QSO
1047,GALAXY
1048,GALAXY
1049,STAR
1050,GALAXY
1051,GALAXY
1052,GALAXY
1053,STAR
1054,QSO
1055,QSO
1056,STAR
1057,GALAXY
1058,QSO
1059,STAR
1060,GALAXY
1061,GALAXY
1062,GALAXY
1063,GALAXY
1064,STAR
1065,GALAXY
1066,QSO
1067,GALAXY
1068,QSO
1069,STAR
1070,GALAXY
1071,GALAXY
1072,GALAXY
1073,GALAXY
1074,QSO
1075,GALAXY
1076,GALAXY
1077,GALAXY
1078,GALAXY
1079,GALAXY
1080,QSO
1081,QSO
1082,GALAXY
1083,GALAXY
1084,STAR
1085,GALAXY
1086,GALAXY
1087,GALAXY
1088,GALAXY
1089,STAR
1090,STAR
1091,STAR
1092,STAR
1093,GALAXY
1094,GALAXY
1095,GALAXY
1096,GALAXY
1097,GALAXY
1098,GALAXY
1099,GALAXY
1100,GALAXY
1101,GALAXY
1102,GALAXY
1103,STAR
1104,GALAXY
1105,STAR
1106,GALAXY
1107,GALAXY
1108,GALAXY
1109,QSO
1110,STAR
1111,GALAXY
1112,GALAXY
1113,GALAXY
1114,GALAXY
1115,GALAXY
1116,GALAXY
1117,GALAXY
1118,QSO
1119,GALAXY
1120,GALAXY
1121,QSO
1122,STAR
1123,GALAXY
1124,GALAXY
1125,STAR
1126,GALAXY
1127,GALAXY
1128,QSO
1129,GALAXY
1130,GALAXY
1131,GALAXY
1132,GALAXY
1133,GALAXY
1134,GALAXY
1135,GALAXY
1136,STAR
1137,GALAXY
1138,STAR
1139,STAR
1140,GALAXY
1141,GALAXY
1142,GALAXY
1143,GALAXY
1144,GALAXY
1145,GALAXY
1146,GALAXY
1147,GALAXY
1148,STAR
1149,STAR
1150,GALAXY
1151,GALAXY
1152,GALAXY
1153,GALAXY
1154,GALAXY
1155,GALAXY
1156,GALAXY
1157,QSO
1158,STAR
1159,QSO
1160,GALAXY
1161,STAR
1162,QSO
1163,GALAXY
1164,GALAXY
1165,GALAXY
1166,GALAXY
1167,GALAXY
1168,STAR
1169,QSO
1170,GALAXY
1171,GALAXY
1172,QSO
1173,GALAXY
1174,GALAXY
1175,GALAXY
1176,GALAXY
1177,GALAXY
1178,STAR
1179,GALAXY
1180,GALAXY
1181,GALAXY
1182,GALAXY
1183,GALAXY
1184,STAR
1185,STAR
1186,GALAXY
1187,GALAXY
1188,QSO
1189,STAR
1190,QSO
1191,GALAXY
1192,STAR
1193,QSO
1194,GALAXY
1195,QSO
1196,STAR
1197,STAR
1198,GALAXY
1199,GALAXY
1200,GALAXY
1201,GALAXY
1202,STAR
1203,GALAXY
1204,GALAXY
1205,GALAXY
1206,GALAXY
1207,GALAXY
1208,GALAXY
1209,GALAXY
1210,GALAXY
1211,GALAXY
1212,GALAXY
1213,GALAXY
1214,QSO
1215,GALAXY
1216,GALAXY
1217,STAR
1218,GALAXY
1219,STAR
1220,QSO
1221,GALAXY
1222,GALAXY
1223,GALAXY
1224,STAR
1225,GALAXY
1226,GALAXY
1227,GALAXY
1228,GALAXY
1229,GALAXY
1230,GALAXY
1231,GALAXY
1232,GALAXY
1233,GALAXY
1234,GALAXY
1235,STAR
1236,GALAXY
1237,GALAXY
1238,QSO
1239,GALAXY
1240,GALAXY
1241,GALAXY
1242,GALAXY
1243,GALAXY
1244,GALAXY
1245,GALAXY
1246,GALAXY
1247,GALAXY
1248,STAR
1249,STAR
1250,GALAXY
1251,GALAXY
1252,STAR
1253,QSO
1254,GALAXY
1255,GALAXY
1256,GALAXY
1257,GALAXY
1258,GALAXY
1259,GALAXY
1260,GALAXY
1261,GALAXY
1262,QSO
1263,GALAXY
1264,STAR
1265,GALAXY
1266,GALAXY
1267,STAR
1268,STAR
1269,GALAXY
1270,GALAXY
1271,GALAXY
1272,GALAXY
1273,GALAXY
1274,GALAXY
1275,GALAXY
1276,GALAXY
1277,GALAXY
1278,GALAXY
1279,GALAXY
1280,GALAXY
1281,GALAXY
1282,GALAXY
1283,QSO
1284,STAR
1285,GALAXY
1286,GALAXY
1287,GALAXY
1288,GALAXY
1289,STAR
1290,STAR
1291,STAR
1292,GALAXY
1293,QSO
1294,GALAXY
1295,GALAXY
1296,GALAXY
1297,QSO
1298,GALAXY
1299,GALAXY
1300,GALAXY
1301,GALAXY
1302,GALAXY
1303,GALAXY
1304,QSO
1305,GALAXY
1306,STAR
1307,GALAXY
1308,GALAXY
1309,QSO
1310,STAR
1311,GALAXY
1312,GALAXY
1313,STAR
1314,GALAXY
1315,GALAXY
1316,GALAXY
1317,STAR
1318,STAR
1319,QSO
1320,STAR
1321,STAR
1322,QSO
1323,GALAXY
1324,GALAXY
1325,GALAXY
1326,STAR
1327,GALAXY
1328,STAR
1329,GALAXY
1330,QSO
1331,GALAXY
1332,GALAXY
1333,STAR
1334,GALAXY
1335,GALAXY
1336,STAR
1337,QSO
1338,STAR
1339,GALAXY
1340,GALAXY
1341,GALAXY
1342,QSO
1343,QSO
1344,GALAXY
1345,GALAXY
1346,GALAXY
1347,GALAXY
1348,STAR
1349,GALAXY
1350,GALAXY
1351,STAR
1352,GALAXY
1353,GALAXY
1354,STAR
1355,GALAXY
1356,GALAXY
1357,GALAXY
1358,GALAXY
1359,GALAXY
1360,GALAXY
1361,GALAXY
1362,GALAXY
1363,GALAXY
1364,GALAXY
1365,GALAXY
1366,STAR
1367,STAR
1368,GALAXY
1369,STAR
1370,GALAXY
1371,GALAXY
1372,GALAXY
1373,GALAXY
1374,GALAXY
1375,GALAXY
1376,GALAXY
1377,GALAXY
1378,GALAXY
1379,GALAXY
1380,QSO
1381,QSO
1382,QSO
1383,QSO
1384,QSO
1385,STAR
1386,QSO
1387,GALAXY
1388,GALAXY
1389,GALAXY
1390,GALAXY
1391,STAR
1392,STAR
1393,STAR
1394,STAR
1395,QSO
1396,GALAXY
1397,GALAXY
1398,GALAXY
1399,GALAXY
1400,GALAXY
1401,GALAXY
1402,STAR
1403,STAR
1404,QSO
1405,QSO
1406,GALAXY
1407,GALAXY
1408,QSO
1409,GALAXY
1410,GALAXY
1411,GALAXY
1412,STAR
1413,GALAXY
1414,QSO
1415,STAR
1416,GALAXY
1417,STAR
1418,GALAXY
1419,GALAXY
1420,GALAXY
1421,GALAXY
1422,STAR
1423,GALAXY
1424,STAR
1425,GALAXY
1426,GALAXY
1427,GALAXY
1428,GALAXY
1429,GALAXY
1430,GALAXY
1431,GALAXY
1432,GALAXY
1433,QSO
1434,QSO
1435,STAR
1436,QSO
1437,GALAXY
1438,GALAXY
1439,QSO
1440,GALAXY
1441,GALAXY
1442,STAR
1443,GALAXY
1444,GALAXY
1445,GALAXY
1446,QSO
1447,QSO
1448,QSO
1449,STAR
1450,QSO
1451,GALAXY
1452,GALAXY
1453,GALAXY
1454,GALAXY
1455,GALAXY
1456,QSO
1457,QSO
1458,GALAXY
1459,GALAXY
1460,GALAXY
1461,GALAXY
1462,QSO
1463,GALAXY
1464,QSO
1465,GALAXY
1466,GALAXY
1467,GALAXY
1468,GALAXY
1469,GALAXY
1470,QSO
1471,GALAXY
1472,GALAXY
1473,STAR
1474,GALAXY
1475,GALAXY
1476,QSO
1477,QSO
1478,GALAXY
1479,GALAXY
1480,GALAXY
1481,GALAXY
1482,GALAXY
1483,GALAXY
1484,QSO
1485,GALAXY
1486,GALAXY
1487,QSO
1488,QSO
1489,GALAXY
1490,GALAXY
1491,GALAXY
1492,GALAXY
1493,GALAXY
1494,GALAXY
1495,GALAXY
1496,QSO
1497,QSO
1498,GALAXY
1499,QSO
1500,QSO
1501,GALAXY
1502,QSO
1503,GALAXY
1504,GALAXY
1505,GALAXY
1506,QSO
1507,GALAXY
1508,GALAXY
1509,STAR
1510,STAR
1511,GALAXY
1512,GALAXY
1513,QSO
1514,GALAXY
1515,QSO
1516,QSO
1517,STAR
1518,GALAXY
1519,GALAXY
1520,GALAXY
1521,GALAXY
1522,STAR
1523,QSO
1524,STAR
1525,GALAXY
1526,QSO
1527,GALAXY
1528,GALAXY
1529,GALAXY
1530,STAR
1531,QSO
1532,GALAXY
1533,GALAXY
1534,GALAXY
1535,GALAXY
1536,GALAXY
1537,GALAXY
1538,STAR
1539,QSO
1540,GALAXY
1541,GALAXY
1542,QSO
1543,GALAXY
1544,GALAXY
1545,GALAXY
1546,GALAXY
1547,GALAXY
1548,QSO
1549,GALAXY
1550,STAR
1551,GALAXY
1552,QSO
1553,QSO
1554,GALAXY
1555,GALAXY
1556,GALAXY
1557,QSO
1558,STAR
1559,GALAXY
1560,GALAXY
1561,GALAXY
1562,GALAXY
1563,GALAXY
1564,GALAXY
1565,GALAXY
1566,GALAXY
1567,GALAXY
1568,GALAXY
1569,GALAXY
1570,GALAXY
1571,GALAXY
1572,GALAXY
1573,GALAXY
1574,GALAXY
1575,GALAXY
1576,GALAXY
1577,STAR
1578,QSO
1579,QSO
1580,QSO
1581,GALAXY
1582,QSO
1583,GALAXY
1584,STAR
1585,GALAXY
1586,GALAXY
1587,GALAXY
1588,QSO
1589,QSO
1590,STAR
1591,GALAXY
1592,GALAXY
1593,GALAXY
1594,GALAXY
1595,GALAXY
1596,GALAXY
1597,QSO
1598,QSO
1599,STAR
1600,STAR
1601,GALAXY
1602,GALAXY
1603,QSO
1604,GALAXY
1605,GALAXY
1606,GALAXY
1607,STAR
1608,GALAXY
1609,GALAXY
1610,QSO
1611,STAR
1612,GALAXY
1613,GALAXY
1614,STAR
1615,GALAXY
1616,QSO
1617,QSO
1618,QSO
1619,QSO
1620,GALAXY
1621,GALAXY
1622,GALAXY
1623,GALAXY
1624,GALAXY
1625,GALAXY
1626,GALAXY
1627,GALAXY
1628,GALAXY
1629,QSO
1630,GALAXY
1631,QSO
1632,GALAXY
1633,GALAXY
1634,GALAXY
1635,GALAXY
1636,GALAXY
1637,GALAXY
1638,GALAXY
1639,STAR
1640,GALAXY
1641,GALAXY
1642,GALAXY
1643,GALAXY
1644,QSO
1645,GALAXY
1646,GALAXY
1647,STAR
1648,STAR
1649,GALAXY
1650,GALAXY
1651,GALAXY
1652,GALAXY
1653,GALAXY
1654,GALAXY
1655,GALAXY
1656,QSO
1657,STAR
1658,GALAXY
1659,QSO
1660,QSO
1661,STAR
1662,QSO
1663,GALAXY
1664,GALAXY
1665,QSO
1666,GALAXY
1667,GALAXY
1668,GALAXY
1669,GALAXY
1670,STAR
1671,GALAXY
1672,GALAXY
1673,STAR
1674,GALAXY
1675,GALAXY
1676,GALAXY
1677,GALAXY
1678,STAR
1679,GALAXY
1680,GALAXY
1681,GALAXY
1682,GALAXY
1683,GALAXY
1684,QSO
1685,STAR
1686,GALAXY
1687,STAR
1688,GALAXY
1689,GALAXY
1690,QSO
1691,GALAXY
1692,QSO
1693,QSO
1694,GALAXY
1695,GALAXY
1696,GALAXY
1697,GALAXY
1698,GALAXY
1699,QSO
1700,STAR
1701,GALAXY
1702,GALAXY
1703,STAR
1704,GALAXY
1705,STAR
1706,GALAXY
1707,GALAXY
1708,GALAXY
1709,STAR
1710,GALAXY
1711,GALAXY
1712,GALAXY
1713,GALAXY
1714,GALAXY
1715,GALAXY
1716,GALAXY
1717,GALAXY
1718,GALAXY
1719,GALAXY
1720,GALAXY
1721,STAR
1722,GALAXY
1723,STAR
1724,STAR
1725,GALAXY
1726,GALAXY
1727,GALAXY
1728,GALAXY
1729,STAR
1730,GALAXY
1731,GALAXY
1732,STAR
1733,GALAXY
1734,GALAXY
1735,STAR
1736,GALAXY
1737,GALAXY
1738,QSO
1739,QSO
1740,GALAXY
1741,STAR
1742,STAR
1743,GALAXY
1744,GALAXY
1745,STAR
1746,GALAXY
1747,GALAXY
1748,GALAXY
1749,QSO
1750,GALAXY
1751,GALAXY
1752,GALAXY
1753,GALAXY
1754,GALAXY
1755,GALAXY
1756,QSO
1757,STAR
1758,GALAXY
1759,GALAXY
1760,STAR
1761,GALAXY
1762,GALAXY
1763,GALAXY
1764,GALAXY
1765,GALAXY
1766,GALAXY
1767,STAR
1768,STAR
1769,QSO
1770,GALAXY
1771,GALAXY
1772,GALAXY
1773,GALAXY
1774,STAR
1775,STAR
1776,GALAXY
1777,GALAXY
1778,QSO
1779,GALAXY
1780,QSO
1781,GALAXY
1782,QSO
1783,GALAXY
1784,GALAXY
1785,STAR
1786,GALAXY
1787,GALAXY
1788,QSO
1789,GALAXY
1790,QSO
1791,QSO
1792,GALAXY
1793,GALAXY
1794,GALAXY
1795,GALAXY
